会場	かいじょう
先輩	せんぱい
髪	かみ
戻る	もどる
昼休み	ひるやすみ
説明	せつめい
生活	せいかつ・する
両方	りょうほう
遠く	とおく
生産	せいさん・する
上る	あがる
壁	かべ
線	せん
足す	たす
力	ちから
翻訳	ほんやく
将来	しょうらい
理由	りゆう
枝	えだ
字	じ
展覧会	てんらんかい
植える	うえる
都合	つごう
騒ぐ	さわぐ
最後	さいご
	テニス
具合	ぐあい
親切	しんせつ
妻	つま
遅れる	おくれる
直る	なおる
止む	やむ
規則	きそく
集る	あつまる
指輪	ゆびわ
数学	すうがく
治る	なおる
歴史	れきし
参る	まいる
	ステレオ
行う	おこなう
押し入れ	おしいれ
鳴る	なる
美しい	うつくしい
発音	はつおん
意見	いけん
噛む	かむ
送る	おくる
通る	とおる
	ガス
冷房	れいぼう
謝る	あやまる
	あげる
客	きゃく
	このごろ
高等学校	こうとうがっこう
原因	げんいん
留守	るす
	しっかり
帰り	かえり
途中	とちゅう
汚れる	よごれる
浅い	あさい
	すばらしい
怒る	おこる
絹	きぬ
	ファックス
	ずいぶん
時代	じだい
細かい	こまかい
林	はやし
付く	つく
下宿	げしゅく
	おっしゃる
楽しみ	たのしみ
森	もり
	レポート/リポート
住所	じゅうしょ
捨てる	すてる
承知	しょうち・する
湯	ゆ
	アナウンサー
	ぬれる
畳	たたみ
品物	しなもの
答	こたえ
	ひどい
届ける	とどける
貿易	ぼうえき
取り替える	とりかえる
思い出す	おもいだす
知らせる	しらせる
必要	ひつよう
明日	あす
計画	けいかく・する
音	おと
舟	ふね
別れる	わかれる
忘れ物	わすれもの
お礼	おれい
	うち
	アルバイト
課長	かちょう
笑う	わらう
	ちゃん
勝つ	かつ
壊れる	こわれる
雲	くも
	すっかり
通う	かよう
僕	ぼく
男性	だんせい
	うん
	ガラス
続く	つづく
	ぜんぜん
利用	りよう
止める	やめる
負ける	まける
迎える	むかえる
聞こえる	きこえる
	ごちそう
申し上げる	もうしあげる
	ごみ
集める	あつめる
差し上げる	さしあげる
向かう	むかう
坂	さか
見つける	みつける
調べる	しらべる
柔道	じゅうどう
	じゃま
復習	ふくしゅう
倒れる	たおれる
世界	せかい
	こう
人口	じんこう
下る	さがる
さ来週	さらいしゅう
眠る	ねむる
怖い	こわい
趣味	しゅみ
片付ける	かたづける
引っ越す	ひっこす
別	べつ
習慣	しゅうかん
苦い	にがい
郊外	こうがい
	うそ
受付	うけつけ
点	てん
	うまい
	レジ
草	くさ
暖房	だんぼう
悲しい	かなしい
残る	のこる
建てる	たてる
返事	へんじ
始める	はじめる
二階建て	にかいだて
泥棒	どろぼう
踊り	おどり
残念	ざんねん
	アジア
掛ける	かける
折る	おる
都	と
太る	ふとる
予定	よてい
寝坊	ねぼう
	ガソリンスタンド
水道	すいどう
形	かたち
	ひげ
入学	にゅうがく・する
汽車	きしゃ
世話	せわ・する
	パート
	おかしい
大学生	だいがくせい
痩せる	やせる
変わる	かわる
塗る	ぬる
	やはり/やっぱり
景色	けしき
為	ため
見物	けんぶつ
一生懸命	いっしょうけんめい
毛	け
変える	かえる
	しばらく
慣れる	なれる
	スクリーン
以内	いない
盗む	ぬすむ
似る	にる
退院	たいいん・する
石	いし
泣く	なく
盛ん	さかん
足りる	たりる
講堂	こうどう
	タイプ
	できるだけ
中々	なかなか
丁寧	ていねい
複雑	ふくざつ
最初	さいしょ
	くださる
会議	かいぎ
優しい	やさしい
小学校	しょうがっこう
食事	しょくじ・する
	そう
島	しま
	とこや
逃げる	にげる
特急	とっきゅう
田舎	いなか
急ぐ	いそぐ
用事	ようじ
場合	ばあい
出席	しゅっせき・する
紹介	しょうかい
急	きゅう
電灯	でんとう
事故	じこ
	ワープロ
引き出し	ひきだし
増える	ふえる
文学	ぶんがく
昼間	ひるま
乗り物	のりもの
立てる	たてる
生きる	いきる
	アメリカ
	うかがう
お祭り	おまつり
	それで
文化	ぶんか
